Index;Unit;Question_Number;Type_of_Question;Question;Answer;Distractor1;Distractor2;Distractor3
249;25. Secondary storage;8;Multiple choice;The term durability refers to;how easily you can damage the device;the speed of the device;the amount of data you can store on the device;how shiny the device is
250;25. Secondary storage;9;Multiple choice;The term portability refers to;how easy it is to carry around/transport the device;the speed of the device;the amount of data you can store on the device;how shiny the device is
251;25. Secondary storage;10;Multiple choice;Which one of these is commonly used to measure storage capacity;bytes;the number of text documents you can store on it;hertz;Mb/s
252;26. Storage devices;1;True or False;RAM is a type of primary storage;TRUE;;;
253;26. Storage devices;2;True or False;A hard drive is a type of primary storage.;FALSE;;;
254;26. Storage devices;3;True or False;All secondary storage devices are external to the computer;FALSE;;;
255;26. Storage devices;4;Multiple choice;What does the tem 'read/write time' refer to;How long it takes for data to be read of written to the device;How long it takes a person to read/write a word document;The amount of data to be stored on the device;How long the storage media can reasonably be expected to last
256;26. Storage devices;5;Multiple choice;What type of storage device is an SSD?;Secondary;Primary;;
257;26. Storage devices;6;Multiple choice;Which one of these devices is solid state?;USB flash memory;CD;DVD;Magnetic stripe
258;26. Storage devices;7;Multiple choice;Which one of these devices is optical?;CD;SSD;USB flash drive;Magnetic stripe
259;26. Storage devices;8;True or False;If you use online storage and your internet goes down, the data is permanently lost;FALSE;;;
260;26. Storage devices;9;True or False;You have large quantity of family videos to store, you should use primary storage for this.;FALSE;;;
261;26. Storage devices;10;True or False;ROM is a primary storage device;TRUE;;;
;Software;;;;;;;
262;27. Functions of an OS;1;Multiple choice;All operating systems provide these functions:;Providing a user interface, Managing the memory, Managing the hardware;Backing up information, creating user's documents, assessing the Internet;Creation of new programs, deleting and creating files, connecting to other computers;None of the above
263;27. Functions of an OS;2;Multiple choice;The following is not a function of an operating system:;Checking for viruses;Directing information from peripheral devices like a mouse or a printer;Allowing users to open applications;Allocating the computer's memory between different tasks.
264;27. Functions of an OS;3;Multiple choice;Icons, menus and windows are part of:;Graphical user interface;System security;Applications and user files;Graphics or games packages
265;27. Functions of an OS;4;Multiple choice;The following is not a part of GUI:;command prompt;scroll bar;text box;radio button
266;27. Functions of an OS;5;Multiple choice;What is the reason computer memory needs to be managed?;the amount of memory in a computer is limited;to protect your data from hackers;applications can't be trusted to use memory properly;
267;27. Functions of an OS;6;Multiple choice;Managing computer memory by the operating system does not include this process:;connecting printers and other peripheral devices;releasing memory not used for a while;loading programs into memory as a user opens them;protecting one program's memory area from being used by the other program
268;27. Functions of an OS;7;Multiple choice;Operating systems are responsible for logging users in and out. This function is a part of:;user interface;memory management;managing hardware and devices;
269;27. Functions of an OS;8;True or False;There are operating systems without an interface.;FALSE;;;
270;27. Functions of an OS;9;True or False;Only personal computers need operating systems, not mobile phones or robots.;FALSE;;;
271;27. Functions of an OS;10;True or False;Many operating systems have similar looking user interfaces featuring buttons, labels, and windows.;TRUE;;;
272;28. Common utility programs;1;Multiple choice;A utility program;monitors and maintains a computer system;sends emails;makes sure the CPU is fast enough;produces office documents
273;28. Common utility programs;2;Multiple choice;Antivirus software;searches for malicious programs and either deletes or quarantines them;creates business documents;makes the hard drive run more efficiently;creates a restore point
274;28. Common utility programs;3;Multiple choice;A firewall;controls and inspects incoming and outgoing network traffic to prevent unauthorised access;creates business documents;creates a restore point;searches for malicious programs and either deletes or quarantines them
275;28. Common utility programs;4;Multiple choice;Spyware is;software that installs itself on your computer and then gathers information about passwords, what Internet sites you visit and other confidential information. ;used to help protect your computer against viruses.;used to tell you how much storage space is free on your computer;automatically deletes browsing history.
276;28. Common utility programs;5;Multiple choice;Automatic updates;make sure your computer has the latest security patches and updates for software installed.;creates business documents.;shows how much storage space is left on a computer.;transfers files to other computers.
277;28. Common utility programs;6;Multiple choice;System information and diagnosis can;show how much storage space is free on a hard drive;delete temporary internet files;create a new user account;searches for malicious programs and either deletes or quarantines them
278;28. Common utility programs;7;Multiple choice;I think I have a virus on my computer, I should use a _____________ to get rid of it.;Antivirus;Firewall;Automatic backup;Disk cleanup
279;28. Common utility programs;8;Multiple choice;I am about to install a new program but want to make sure I can revert back to the computers current state if anything goes wrong, I should _____________ before I do anything else.;set a system restore point;switch off the firewall;empty the recycle bin;send an email to my teacher
280;28. Common utility programs;9;Multiple choice;I am running out of space on my hard drive, I should use the _____________ tool.;disk cleanup;email;disk defragment;backup
281;28. Common utility programs;10;True or False;Firewalls remove viruses;FALSE;;;
282;29. Merits of different types of software;1;Multiple choice;Certain computing projects in education and science are free and maintained by a diverse community of people. Their software is usually distributed as:;open source;charity;off the shelf;
283;29. Merits of different types of software;2;Multiple choice;Microsoft Office and similar software is an example of:;off the shelf;bespoke;open source;
284;29. Merits of different types of software;3;Multiple choice;A bank thinks of getting a database package. They have particular needs, such as having their logo on every screen and timing employees performing tasks. The best software in this case would be:;bespoke;off the shelf;open source;
285;29. Merits of different types of software;4;Multiple choice;A small office is thinking about getting productivity sofware for typing up letters and simple spreadsheet modelling. Their needs and budget are modest. The best software in this case would be:;off the shelf;bespoke;none of the above ;
286;29. Merits of different types of software;5;Multiple choice;John needs to exchange information with a lot of people, sending documents back forth. He wants to get a data handling software that will keep track of his expenses and revenues. The best software in this case would be:;off the shelf;open source;bespoke;
287;29. Merits of different types of software;6;Multiple choice;Some software programs develop rapidly, gaining new features and adapting to new uses, very often very specialised and experimental. The best software in this case would be:;open source;proprietory;bespoke;
288;29. Merits of different types of software;7;Multiple choice;The following is not a good reason to use bespoke software:;the need to perform a very wide range of tasks;special features only needed by one company;low computer skills of employees;
289;29. Merits of different types of software;8;Multiple choice;A lot of scientific projects run on _____ software.;open source;proprietory;expensive;
290;29. Merits of different types of software;9;Multiple choice;The following type of software will typically have the biggest number of users:;off the shelf;proprietory;bespoke;
291;29. Merits of different types of software;10;True or False;Bespoke sofware is otherwise known as custom written software.;TRUE;;;
;Representation of data in computer systems;;;;;;;
292;30. Definitions of units;1;Multiple choice;How many binary values can a nibble store?;16;8;4;32
293;30. Definitions of units;2;Multiple choice;A kilobyte is usually rounded to 1000 bytes. But actually it is _____ bytes:;1024;512;1048;9600
294;30. Definitions of units;3;Multiple choice;A gigabyte consists of 1024:;megabytes;terabytes;kilobytes;nibbles
295;30. Definitions of units;4;Multiple choice;The most fundamental unit of computer data storage is:;a byte;a megabyte;a bit;a gigabyte
296;30. Definitions of units;5;Multiple choice;The following is a correct order of units of storage from lowest to highest:;a bit, a nibble, a byte, a kilobyte, a megabyte, a gigabyte, a terabyte;a bit, a byte, a nibble, a kilobyte, a megabyte, a gigabyte, a terabyte;a bit, a nibble, a byte, a megabyte, a kilobyte, a gigabyte, a terabyte;a byte, a bit, a nibble, a megabyte, a kilobyte, a gigabyte, a terabyte
297;30. Definitions of units;6;Multiple choice;The smallest unit of data that use is:;a bit;a byte;a gigabyte;a megabyte
298;30. Definitions of units;7;Multiple choice;The following is true about all units of data:;they are all degrees of two;they are all approximations;they keep on changing as computers get more powerful;they are all divisible by a nibble
299;30. Definitions of units;8;Multiple choice;The following unit of data can approximately store a page of text:;a kilobyte;a byte;a megabyte;a gigabyte
300;30. Definitions of units;9;Multiple choice;Megabyte is equal to this many bytes:;1000000;1000;100000;1000000000
301;30. Definitions of units;10;Multiple choice;There are that many nibbles in a byte:;2;4;16;None of the above
302;31. Binary format;1;Multiple choice;In a binary number, the bit on the very left is called:;Most significant bit;Least significant bit;Operand;Leftmost parity field
303;31. Binary format;2;Multiple choice;When a binary number's rightmost bit is a one this means:;it represents an odd number;it represents an even number;this byte is corrupted;none of the above
304;31. Binary format;3;Multiple choice;In a positive 8 bit binary number, having a one on the left side means that:;The value of the number is at least 128;The number is odd;The number is even;The value of the number is at least 255
305;31. Binary format;4;True or False;"Binary system is also known as ""base 1 and 0""";FALSE;;;
306;31. Binary format;5;Multiple choice;In Binary, 0010 was mistakenly written down as 0100. This has the following effect:;It doubles the number;It halves the number;It makes the number invalid;
307;31. Binary format;6;True or False;To increase a binary number by one we set MSB to one;FALSE;;;
308;31. Binary format;7;Multiple choice;The following is true about all bits in a binary number:;The bit on a left is always double that on the right.;The bit on a right is always double that on the left.;The bit in the middle is never zero;
309;31. Binary format;8;True or False;We call it a binary system because it uses digits 2, 1, 0;FALSE;;;
310;31. Binary format;9;True or False;Binary operation is well suited to computers.;TRUE;;;
311;31. Binary format;10;Multiple choice;Out of these numbers: 1100 0110, 0111 1111, 0001 1111, 1010 1010, which one is the largest?;1100 0110;0111 1111;0001 1111 ;1010 1010
312;32. Converting positive denary whole numbers;1;Multiple choice;What is 54 in binary;110110;11011000;10011101;1111
313;32. Converting positive denary whole numbers;2;Multiple choice;What is 127 in binary;1111111;10000000;11011111;11000010
314;32. Converting positive denary whole numbers;3;Multiple choice;What is 7 in binary;111;101;1000;1001
315;32. Converting positive denary whole numbers;4;Multiple choice;What is 13 in binary;1101;1111;1011;1010
316;32. Converting positive denary whole numbers;5;Multiple choice;What is 253 in binary;11111101;11110101;11001101;11110100
317;32. Converting positive denary whole numbers;6;Multiple choice;What is 218 in binary;11011010;11011110;11111010;1011010
318;32. Converting positive denary whole numbers;7;Multiple choice;What is 173 in binary;10101101;10101001;101101;11111101
319;32. Converting positive denary whole numbers;8;Multiple choice;What is 92 in binary;1011100;11011100;1111100;1011101
320;32. Converting positive denary whole numbers;9;Multiple choice;What is 146 in binary;10010010;10010011;11010010;10111010
321;32. Converting positive denary whole numbers;10;Multiple choice;What is 203 in binary;11001011;11011011;1011;11101010
322;33. Adding 8-bit binary numbers;1;Multiple choice;11010101 + 00000001 =;11010110;11010102;10110101;215
323;33. Adding 8-bit binary numbers;2;Multiple choice;00010111 + 01001100 =;1100011;11100011;1110001;1111011
324;33. Adding 8-bit binary numbers;3;Multiple choice;00011011 + 00001100 =;1000011;1000111;1100011;1000010
325;33. Adding 8-bit binary numbers;4;Multiple choice;00000111 + 00001100 =;10011;110011;10010011;10012
326;33. Adding 8-bit binary numbers;5;Multiple choice;01110111 + 00001100 =;10000011;10100011;10001111;10000010
327;33. Adding 8-bit binary numbers;6;Multiple choice;01100110 + 00001101 =;1110011;11110011;1110010;1100011
328;33. Adding 8-bit binary numbers;7;Multiple choice;01100100 + 00101101 =;10010001;10001;10010111;10011001
329;33. Adding 8-bit binary numbers;8;Multiple choice;00100000 + 10101101 =;11001101;10001101;11000001;11010101
330;33. Adding 8-bit binary numbers;9;Multiple choice;11111111 + 00000001 =;100000000;0;100000001;11111111
331;33. Adding 8-bit binary numbers;10;Multiple choice;01010101 + 10101010 =;11111111;11111110;11110000;10101011
332;34. Hexadecimal numbers;1;Multiple choice;What is 27 in hexadecimal;1B;17;11011;1C
333;34. Hexadecimal numbers;2;Multiple choice;What is 126 in hexadecimal;7E;111110;76;7F
334;34. Hexadecimal numbers;3;Multiple choice;What is 98 in hexadecimal;62;98;AB;69
335;34. Hexadecimal numbers;4;Multiple choice;What is 184 in hexadecimal;B8;B4;10111000;9A
336;34. Hexadecimal numbers;5;Multiple choice;What is 219 in hexadecimal;DB;DC;BB;ED
337;34. Hexadecimal numbers;6;Multiple choice;What is 253 in hexadecimal;FD;11111101;FF;CD
338;34. Hexadecimal numbers;7;Multiple choice;What is 19 in hexadecimal;13;10011;19;1A
339;34. Hexadecimal numbers;8;Multiple choice;What is 12 in hexadecimal;C;12;D;B
340;34. Hexadecimal numbers;9;Multiple choice;What is 142 in hexadecimal;8E;8F;8B;C2
341;34. Hexadecimal numbers;10;Multiple choice;What is 102 in hexadecimal;66;67;62;6A
342;35. Character sets;1;Multiple choice;Choose the best answer about character sets:;All characters in character sets are stored in binary.;Some characters in character sets are stored in binary.;Only binary characters in character sets are stored in binary.;
343;35. Character sets;2;Multiple choice;The following is true about character sets:;Each letter has a unique code;Lower and upper case letters share the same codes;ASCII is one of the latest character sets to be adopted;
344;35. Character sets;3;Multiple choice;The following is not true about the ASCII character set:;example: Mount Everest;Usually, is made up of 7 bits;Is not enough to represent languages other than English;
345;35. Character sets;4;Multiple choice;Identify a true statement:;Standard ASCII only uses the first 128 positions in the table.;Standard ASCII only uses the first 255 positions in the table.;ASCII has more letters than Unicode;
346;35. Character sets;5;Multiple choice;The main purpose of character sets is:;To allow humans to express alphanumeric characters in a binary table;To run the Internet;To simplify computer programming;
347;35. Character sets;6;Multiple choice;The first 31 ASCII characters:;Are rarely used by today's computers.;Are the lowercase letters of the English alphabet.;Are the uppercase letters of the English alphabet.;
348;35. Character sets;7;Multiple choice;Uppercase characters in ASCII:;Appear before lowercase characters.;Appear after lowercase characters.;Don't get unique codes to store their position in binary.;
349;35. Character sets;8;Multiple choice;Unicode can represent:;65,536 different characters;255 characters;127 characters;
350;35. Character sets;9;Multiple choice;Portions of the large Unicode set are divided into:;Code pages.;Subsets.;Alphabets.;
351;35. Character sets;10;Multiple choice;ASCII uses one byte per character. Unicode uses how many bytes per character?;2 bytes per character.;3 bytes per character.;4 bytes per character.;
352;36. Images;1;Multiple choice;Quality of an image depends on:;Resolution;Metadata;Screen size;Computer's speed
353;36. Images;2;Multiple choice;The density of pixels in an image file is known as:;Resolution;Dimensions.;Transparency.;Compression.
354;36. Images;3;Multiple choice;Resolution is measured in:;Pixels per mm or per inch;Print size.;Milimeters.;Bytes.
355;36. Images;4;Multiple choice;Identify a true statement:;Image files can be compressed by setting pixels with similar colour to the exactly same colour.;Compressing files improves their quality.;Resolution doesn't affect the printed size of an image.;Black and white images have colour depth of two bits.
356;36. Images;5;Multiple choice;Colour depth refers to:;How many bits are used in a file to store colour information in every pixel;Resolution divided by the number of colours in an image.;Degree of file compression applied to an image file.;Repeated resampling of an image.
357;36. Images;6;Multiple choice;Most graphic formats create many colours from:;Red, green, blue.;Red, pink, yellow.;Red, white, blue.;Black, white, green.
358;36. Images;7;Multiple choice;The smallest unit of data stored in an image file is called:;Pixels;Resolution;Alpha;Bitmap.
359;36. Images;8;Multiple choice;Alpha-channel present in some images refers to:;Transparency of pixels.;Quality of a file.;The order in which alternative pixels are loaded.;Degree of file compression applied to an image file.
360;36. Images;9;True or False;A bitmap file is an example of raster graphics.;TRUE;;;
361;36. Images;10;True or False;A bitmap file contains virtually unlimited number of colours.;FALSE;;;
362;37. Metadata;1;Multiple choice;Images can contain a geographical location of where the picture was taken. This is stored in a special area of an image file called:;Metadata;File name.;Compression area.;Alpha-channel.
363;37. Metadata;2;Multiple choice;The following is true about metadata:;It is data about data.;It is corrupted data.;It significantly increases file sizes.;
364;37. Metadata;3;Multiple choice;Metadata doesn't contain the following:;File name.;Print dimensions.;Colour depth.;Camera settings for when the picture was taken.
365;37. Metadata;4;Multiple choice;The following is often stored in metadata:;All of these.;Colour depth;Height and Width of an image;Compression algorithm applied.
366;37. Metadata;5;Multiple choice;If image metadata is corrupted,;The resulting picture is not displayed properly.;It is easily fixed.;Will not affect printing and displaying of the file.;
367;37. Metadata;6;Multiple choice;Metadata is used in the following files:;All of these.;Images;MP3 files;Webpages
368;37. Metadata;7;Multiple choice;A common type of image metadata is called:;EXIF;MP3;TIFF;GIF
369;37. Metadata;8;True or False;Image metadata will store the make of the camera that took the picture.;TRUE;;;
370;37. Metadata;9;True or False;Metadata can be used to organise and search for images.;TRUE;;;
371;37. Metadata;10;True or False;Image metada can present privacy risk.;TRUE;;;
372;38. Sound;1;True or False;Digital sound always sounds better than analogue.;FALSE;;;
373;38. Sound;2;True or False;The most common sampling rate for sound files is 16 bit.;FALSE;;;
374;38. Sound;3;True or False;The most common sampling rate for sound files is 44.1 khz.;TRUE;;;
375;38. Sound;4;True or False;A microphone converts the changes in air pressure into voltage changes which are then digitised.;TRUE;;;
376;38. Sound;5;Multiple choice;The following is true about sampling rates:;They measure a number of snapshots of sound taken per second.;They are not as important as bit rates.;They are different for every song, depending on its loudness.;
377;38. Sound;6;True or False;Sampling rate for CDs is different from the one used by DVDs.;TRUE;;;
378;38. Sound;7;Multiple choice;DAC does this:;Converts a binary stored version of a recording to voltage changes that speakers can reproduce.;Takes voltage changes and digitises them for further processing and storage.;Amplifies the sound and makes it digitally clean.;
379;38. Sound;8;Multiple choice;Identify a false statement:;Higher bit rates usually improve the sound quality and result in smaller file size.;Higher bit rates usually improve the sound quality but result in larger file size.;To record a sound into binary format, ADC will be applied rather than DAC.;
380;38. Sound;9;Multiple choice;Which of the following is not a usual way of reducing sound file size:;Erasing metadata and keeping recordings short.;Using lossy compression.;Using lossless compression.;Reducing sampling rate or bit rate.
381;38. Sound;10;True or False;Lossy compression works by identifying sound frequencies that are not obvious and deleting them.;TRUE;;;
382;39. Instructions;1;Multiple choice;CPU executes instructions written in:;Machine code;Assembler;High level language;Database language
383;39. Instructions;2;Multiple choice;A CPU instruction is made of how many parts?;2;3;1;4
384;39. Instructions;3;Multiple choice;"One machine code instruction consists of an ""opcode"" which stands for operation code and:";memory address;user input;memory code;number code
385;39. Instructions;4;Multiple choice;Which of the following is not an operation code:;1100;ADD;BRZ;END
386;39. Instructions;5;True or False;Machine code instructions written for one CPU will probably work on most others.;FALSE;;;
387;39. Instructions;6;Multiple choice;Which of the following is not a common CPU mnemonic?;MULT;ADD;SUB;LDA
388;39. Instructions;7;Multiple choice;The mnemonic LDA stands for:;Load accumulator;Load dynamic array;Let digits append;
389;39. Instructions;8;Multiple choice;The concept where instructions and the data that relates to the instructions share the same CPU registers is known as:;The Von Neumann Architecture;Assembler;Mnemonics;High level programming language
390;39. Instructions;9;True or False;CPU can tell opcodes from data without any additional information.;FALSE;;;
391;39. Instructions;10;Multiple choice;The Von Neumann architecture works on this cycle:;Fetch-Execute;Load-Process-Store;Begin-Process-Halt;
;Databases;;;;;;;
392;40. Databases and the use of data handling software;1;Multiple choice;The following is true about databases:;Any organised storage of data, even on paper cards, is a database;You need a computer to run a database;You need some special software to run a database;
393;40. Databases and the use of data handling software;2;Multiple choice;Computer databases have the following advantage over manual databases:;All of these;Multiple views can restrict what different types of database users can see;Faster searching;Takes up less physical space
394;40. Databases and the use of data handling software;3;Multiple choice;Which one of the following is not a popular database package:;Microsoft Word;Microsoft Excel;MySQL;Microsoft Access
395;40. Databases and the use of data handling software;4;Multiple choice;Every database must have:;All of these;Entities;Relationships;Spell checker
396;40. Databases and the use of data handling software;5;Multiple choice;Which of the following is the best definition of a database?;A persistent collection of related data stored and organised in a logical way.;A collection of tables and views to serve customers.;A computer program that allows the storage and retrieval of data.;
397;40. Databases and the use of data handling software;6;True or False;Search engines like Google or Bing are essentially databases.;TRUE;;;
398;40. Databases and the use of data handling software;7;True or False;Paper-based databases make it difficult to search data for more than one criteria.;TRUE;;;
399;40. Databases and the use of data handling software;8;Multiple choice;Which of these words doesn't belong?;installing;criteria;sorting;relationship
400;40. Databases and the use of data handling software;9;True or False;Computerised databases are easier to back up and restore in case of an emergency.;TRUE;;;
401;40. Databases and the use of data handling software;10;True or False;Computerised databases are flexible: you can mix numbers and words in the same field.;FALSE;;;
402;41. DBMS;1;Multiple choice;DBMS allows a user to do all of these tasks except:;Speed up the operation of a computer;Create a blank database table;Extract a data set from a number of tables;Produce reports that combine and summarise the data.
403;41. DBMS;2;Multiple choice;Which of the following is not a DBMS despite having database capabilities:;Microsoft Excel or similar spreadsheets;Oracle;MySQL;Microsoft Access or similar
404;41. DBMS;3;Multiple choice;Which of the following is the most important feature of DBMS:;Command language like SQL;Ability to back up data;Ease of use;Ability to automate some tasks
405;41. DBMS;4;True or False;In DBMS systems data is separated from control.;TRUE;;;
406;41. DBMS;5;True or False;It is hard to get one DBMS system to exchange data with another DBMS.;FALSE;;;
407;41. DBMS;6;True or False;All DBMS systems use SQL as a command language.;FALSE;;;
408;41. DBMS;7;Multiple choice;DBMS can summarise the data stored in the database and produce an easy to read _____:;reports;queries;tables;criteria
409;41. DBMS;8;Multiple choice;A database entity is also known as:;a table;a field;a row;a report
410;41. DBMS;9;Multiple choice;"A particular DBMS uses SQL for extracting data. The SQL command ""WHERE"" is usually followed by:";a criteria;a table name;a user name;a mathematical formula
411;41. DBMS;10;Multiple choice;A DBMS system is made up of:;queries, forms, reports;tables, entities, fields;rows, columns, criteria;data and commands
412;42. Tables and entities;1;True or False;Flat file databases use only one table.;TRUE;;;
413;42. Tables and entities;2;Multiple choice;Which of these statements is correct?;All of these;"Rows in a database table are usually called ""records"".";"Columns in a database table are usually called ""fields"".";Some columns in a database can't be left blank.
414;42. Tables and entities;3;Multiple choice;Databases keep data in:;Tables;Queries;Forms;Reports
415;42. Tables and entities;4;True or False;Tables store data about Entities;TRUE;;;
416;42. Tables and entities;5;True or False;Every attribute has a number of associated entities.;FALSE;;;
417;42. Tables and entities;6;True or False;Information about an entity is stored in attributes;TRUE;;;
418;42. Tables and entities;7;True or False;All tables in a database are connected through relationships.;FALSE;;;
419;42. Tables and entities;8;Multiple choice;If one of the entities stored in a database is a magic wands on a shelf, it might have all of these attributes except:;Supplier's address;Supplier ID;Price;Quantity
420;42. Tables and entities;9;Multiple choice;The following two attributes from different tables will form a relationship:;Supplier's ID and Item Supplier;Quantity purchased and Quantity left;Item name and supplier's ID;
421;42. Tables and entities;10;Multiple choice;The following is not a valid type of a relationship:;one-to-all;one-to-one;one-to-many;many-to-many
422;43. Logical operators;1;Multiple choice;"The following query ""SELECT * FROM Videos"" can be interpreted as:";Requesting to show all records stored in the table called Video.;Deleting all records stored in the table called Video.;Requesting to show all records with ID of 1 character stored in the table called Video.;
423;43. Logical operators;2;Multiple choice;The following is not a valid SQL keyword:;PRINT;SELECT;INSERT;DELETE
424;43. Logical operators;3;Multiple choice;"The following condition ""!="" means:";not equal;always equal;error;
425;43. Logical operators;4;Multiple choice;The following is not a valid Logical keyword:;EQUAL;AND;OR;NOT
426;43. Logical operators;5;Multiple choice;To select all items in the above table costing over £100 and in stock, the following SQL statement is needed:;SELECT * FROM Items WHERE Price>100 AND Quantity>0;SELECT * FROM Items WHERE Price>100 OR Quantity>0;INSERT * FROM Items WHERE Price>100 OR Quantity>0;SELECT * FROM Items WHERE Price>=100 AND Quantity>=0
427;43. Logical operators;6;Multiple choice;A query to select both products from the same supplier would look like this:;SELECT * FROM Items WHERE Supplier=205;SELECT * FROM Items WHERE Supplier=Supplier;"SELECT * FROM Items WHERE Item=""Socket m3"" OR Item=""Fuse 1A""";
428;43. Logical operators;7;Multiple choice;"The following query UPDATE Customers SET Price=Price*0.75, WHERE (Quantity>100 OR Price<30) AND OnSale=FALSE; will do this:";For all non-sale items with over 100 units unsold, apply a 25% discount.;Show all non-sale items with over 100 units unsold, priced 75p or lower.;Take 75% off all overstocked items and mark them as non-sale items.;
429;43. Logical operators;8;True or False;AND operator is often replaced with NOT(OR);FALSE;;;
430;43. Logical operators;9;Multiple choice;"To select all items except ""Socket m3"", we could run the following query:";SELECT * FROM Items WHERE NOT(ID=1001);"SELECT * FROM Items WHERE NOT(ID=""Socket m3"")";"SELECT NOT(ID=""Socket m3"") FROM Items ";
431;43. Logical operators;10;Multiple choice;AND, OR allow users to combine multiple ________ in querying a database:;criteria;tables;records;
432;44. Key fields;1;Multiple choice;A primary key of one table is known as a _______ key in other tables:;foreign;unknown;related;unique
433;44. Key fields;2;True or False;Key fields can't be left blank.;TRUE;;;
434;44. Key fields;3;Multiple choice;A relationship between two entities is formed when:;a primary key of one entity appears as a field in another entity.;some of the data from one entity is copied to the other.;these entities are merged.;these entities contain very similar data.
435;44. Key fields;4;True or False;Automatically incremented primary keys are usually numeric;TRUE;;;
436;44. Key fields;5;True or False;A foreign key is otherwise known as a secondary key.;TRUE;;;
437;44. Key fields;6;Multiple choice;What can we say about the Supplier field?;All of these;It is a secondary key in this table;It is a primary key in the Suppliers table;It is a numeric field
438;44. Key fields;7;Multiple choice;What would be the most appropriate name for this table?;Inventory;Suppliers;List of IDs;Price list
439;44. Key fields;8;Multiple choice;You are given two tables. Identify the primary key for Magic Stuff Co that is missing, using the information in the other table.;211;215;1003;1001
440;44. Key fields;9;Multiple choice;This is not a valid table because:;ID field needs to stay in one format but the third record as an alphanumeric ID;The third record's Primary key is too long;The ID numbers have gaps, e.g. ID 206 is missing;
441;44. Key fields;10;Multiple choice;Identify a wrong statement:;Keys can only be numeric because text keys can't be sorted.;When DBMS runs a query in a table and finds a secondary key it then searches the related table and substitutes the related value instead of a key.;DBMS usually uses numeric keys.;ID and key are usually used interchangeably.
442;45. Validating data;1;Multiple choice;To decrease the number of mistakes when inputting data into a database, we use two techniques:;Verification and validation.;Validation and virus checking.;Backup and virus checking.;Searching for duplicates and erasing empty rows.
443;45. Validating data;2;Multiple choice;Validates ensures that data is fit for purpose which means the data is:;sensible and reasonable;accurate and fact-checked;spelled correctly;
444;45. Validating data;3;Multiple choice;The following is true about validation:;It is performed by software;It is performed by a human;It requires everything to be typed twice, e.g. a new password.;
445;45. Validating data;4;True or False;Most database software has sophisticated verification routines.;FALSE;;;
446;45. Validating data;5;Multiple choice;When inputting UK customers into a table, this type of validation will prevent non-UK postal codes to be entered:;Format check;Presence check;Range check;Check digit
447;45. Validating data;6;Multiple choice;When inputting credit card customers into a table, this type of validation will prevent invalid numbers to be entered:;All of these;Length check;Check digit;Format check
448;45. Validating data;7;Multiple choice;A user is entering valid but highly unusual data, e.g. age of 113 years. The following is true:;A special routine needs to run, getting the user to confirm and flag this entry up for human verification.;Unusual data is invalid, clearly a person 113 years of age will not be entered in database. It needs to be rejected.;It is possible that a customer can be indeed be 113 years old. The data should be treated as any other.;
449;45. Validating data;8;Multiple choice;The following mistakes will not be picked up by any validation:;13 Broad Street instead of 12 Broad Street;0 Broad Street instead of 12 Broad Street;5 Broad Avenue instead of 5 Broad Street;
450;45. Validating data;9;True or False;Sometimes validation will prevent valid data from being input;TRUE;;;
451;45. Validating data;10;True or False;Validation checks if data is correct;FALSE;;;
;Computer communications and networking;;;;;;;
452;46. Advantages of networking;1;Multiple choice;Which of the following is not an advantage of networking?;Security from viruses and unauthorised access.;Ability to share files and printers;Ability to move the same user account between different computers;Obtaining site license software at reduced cost compared to buying multiple copies.
453;46. Advantages of networking;2;Multiple choice;The following is needed to get on the Internet:;Networking of computers.;A modem for every computer.;Administrative accounts.;Large storage capacity.
454;46. Advantages of networking;3;True or False;Collaborative working is very popular today and is made possible by networking.;TRUE;;;
455;46. Advantages of networking;4;True or False;Upgrading software is easier to do over the network.;TRUE;;;
456;46. Advantages of networking;5;Multiple choice;When a computing task would take too long for any one computer to do, the use of networking will allow the use of:;Distributed processing.;To replace computers as they break down under load.;Will speed up Internet access.;
457;46. Advantages of networking;6;Multiple choice;The following activity is made possible by networking:;All of these;Remote troubleshooting of computer problems by techsupport.;Cloud storage.;Internet browsing and email.
458;46. Advantages of networking;7;True or False;Networking allows easier sharing of peripherals.;TRUE;;;
459;46. Advantages of networking;8;True or False;The cost of networking has been going down over the last few decades.;TRUE;;;
460;46. Advantages of networking;9;True or False;Networking standards don't change fast enough to keep up with developments in wireless and CPU technology.;FALSE;;;
461;46. Advantages of networking;10;True or False;Wireless network is starting to overtake wired networking as a preferred connection type.;TRUE;;;
462;47. Hardware needed to connect to a LAN;1;Multiple choice;The following is not needed to connect to LAN:;The latest version of an operating system and all the updates.;Network card;Wireless or wired router;
463;47. Hardware needed to connect to a LAN;2;Multiple choice;The following device is not very intelligent but allows computers to form a segment of a network:;Hub;Router;Modem;NIC
464;47. Hardware needed to connect to a LAN;3;Multiple choice;This device performs a lot of processing to filter and readdress network packets:;Router;Hub;Switch;Modem
465;47. Hardware needed to connect to a LAN;4;True or False;A switch is better in preventing data collisions than a hub.;TRUE;;;
466;47. Hardware needed to connect to a LAN;5;Multiple choice;The following hardware is becoming more and more common in networking:;Wireless hotspot.;Router;Hub;Switch
467;47. Hardware needed to connect to a LAN;6;Multiple choice;When a router processes a packet, it will look at its source field to:;Notify the sender if the packet doesn't get through.;Forward the packet to its intended recipient.;To filter packets that are lost.;
